Year,Year2021Num,TherOrGeneral,PaperLanguage,LanguageOfCORE,OpenAccess,Empirical,AssessmentStructure,DataAvailable,EmbeddedInTherapy,WhichCOREInstruments,FormatOfMeasure,OtherMeasureNames,Countries,AgeGroups,GenderCategories,Author,DOI,URL,ref,shinyID,TitleExcel,OtherMeasureNamesLwr,inclYP,inclOP,cite,Foci
2018,2018,General population,English,Spanish,N,Empirical,Only once,N,N,CORE-OM;,Electronic/automated instruments;,Sociodemographic questionnaire,Spain,Any adults;,Men;Women,"bernaras iturrioz, elena; insúa cerretani, patricia; bully garay, paola",10.1080/03069885.2017.1286633,<a href='https://www.tandfonline.com/doi/full/10.1080/03069885.2017.1286633' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/03069885.2017.1286633</a>,"Bernaras Iturrioz, Elena, Insúa Cerretani, Patricia ... Bully Garay, Paola (2018) Prevalence and severity of psychological problems in university students. British Journal of Guidance & Counselling 46:46(4):418-428",2018_003,prevalence and severity of psychological problems in university students,sociodemographic questionnaire,Y,N,"Bernaras Iturrioz, Elena, Insúa Cerretani, Patricia ... Bully Garay, Paola (2018)",
2018,2018,General population,English,English,N,Empirical,Only once,N,N,CORE-10;,Unknown;,"European health interview survey-quality of life (EUROHIS‐QOL),World Health Organization Quality of Life Brief Version (WHOQOL-BREF),Social Stigma for Seeking Psychological Help (SSRPH),Internalized Stigma of Mental Illness (ISMI),Acceptance and Action Questionnaire-II (AAQ‐II)",UK,NA,Men;Women,"bowes, margaret a.; ferreira, nuno; henderson, mike",10.1002/cpp.2182,<a href='https://onlinelibrary.wiley.com/doi/10.1002/cpp.2182' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/cpp.2182</a>,"Bowes, Margaret A., Ferreira, Nuno ... Henderson, Mike (2018) The influence of psychosocial factors in veteran adjustment to civilian life. Clinical Psychology & Psychotherapy 25:25(4):583-600",2018_004,the influence of psychosocial factors in veteran adjustment to civilian life,"european health interview survey-quality of life (eurohis‐qol),world health organization quality of life brief version (whoqol-bref),social stigma for seeking psychological help (ssrph),internalized stigma of mental illness (ismi),acceptance and action questionnaire-ii (aaq‐ii)",NA,NA,"Bowes, Margaret A., Ferreira, Nuno ... Henderson, Mike (2018)",
2018,2018,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,Behavior Problems Inventory-Short Form (BPI-S),NA,NA,Not applicable,"bowring, darren l.; totsika, vasiliki; hastings, richard p.; toogood, sandy",10.1108/TLDR-06-2017-0025,<a href='https://www.emerald.com/insight/content/doi/10.1108/TLDR-06-2017-0025/full/html' target='_blank' >https://www.emerald.com/insight/content/doi/10.1108/TLDR-06-2017-0025/full/html</a>,"Bowring, Darren L., Totsika, Vasiliki ... Toogood, Sandy (2018) Toward data-based clinical decision making for adults with challenging behavior using the Behavior Problems Inventory-Short Form (BPI-S). Tizard Learning Disability Review 23:23(2):103-110",2018_005,toward data-based clinical decision making for adults with challenging behavior using the behavior problems inventory-short form (bpi-s),behavior problems inventory-short form (bpi-s),NA,NA,"Bowring, Darren L., Totsika, Vasiliki ... Toogood, Sandy (2018)",
2018,2018,Treatment,English,English,Y,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,"Patient Health Questionnaire (PHQ-9),Valued Living Questionnaire (VLQ),Cognitive Fusion Questionnaire (CFQ)",UK,Any adults;,Men;Women,"bramwell, kate; richardson, thomas",10.1007/s10879-017-9367-6,<a href='http://link.springer.com/10.1007/s10879-017-9367-6' target='_blank' >http://link.springer.com/10.1007/s10879-017-9367-6</a>,"Bramwell, Kate & Richardson, Thomas (2018) Improvements in depression and mental health after acceptance and commitment therapy are related to changes in defusion and values-based action. Journal of Contemporary Psychotherapy 48:48(1):9-14",2018_006,improvements in depression and mental health after acceptance and commitment therapy are related to changes in defusion and values-based action,"patient health questionnaire (phq-9),valued living questionnaire (vlq),cognitive fusion questionnaire (cfq)",N,N,"Bramwell, Kate & Richardson, Thomas (2018)",Depression; 
2018,2018,Treatment,English,NA,Y,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,NA,NA,NA,Not applicable,"broglia, emma; millings, abigail; barkham, michael",10.1080/03069885.2017.1370695,<a href='https://www.tandfonline.com/doi/full/10.1080/03069885.2017.1370695' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/03069885.2017.1370695</a>,"Broglia, Emma, Millings, Abigail ... Barkham, Michael (2018) Challenges to addressing student mental health in embedded counselling services: A survey of UK higher and further education institutions. British Journal of Guidance & Counselling 46:46(4):441-455",2018_007,challenges to addressing student mental health in embedded counselling services: a survey of uk higher and further education institutions,NA,NA,NA,"Broglia, Emma, Millings, Abigail ... Barkham, Michael (2018)",
2018,2018,Treatment,English,Romanian,Y,Empirical,Pre-post,N,N,CORE-OM;,As an interview/Interview-assisted;,Revised Spontaneity Assessment Inventory (SAI-R),Romania,NA,Women,"bucuţă, mihaela d.; dima, gabriela; testoni, ines",10.3389/fpsyg.2018.01518,<a href='https://www.frontiersin.org/article/10.3389/fpsyg.2018.01518/full' target='_blank' >https://www.frontiersin.org/article/10.3389/fpsyg.2018.01518/full</a>,"Bucuţă, Mihaela D., Dima, Gabriela ... Testoni, Ines (2018) “When you thought that there is no one and nothing”: The value of psychodrama in working with abused women. Frontiers in Psychology 9:1518",2018_008,“when you thought that there is no one and nothing”: the value of psychodrama in working with abused women,revised spontaneity assessment inventory (sai-r),NA,NA,"Bucuţă, Mihaela D., Dima, Gabriela ... Testoni, Ines (2018)",
2018,2018,Treatment,English,English,N,Empirical,Only once,N,N,CORE-SF/A;,Paper and pencil;,Rorschach Test,UK,NA,Men;Women,"carstairs, kari; hartley, sarah; peden, andrew; woods, justine mccarthy; van graan, andre; andronikof, anne; fontan, patrick",10.1027/1192-5604/a000103,<a href='https://econtent.hogrefe.com/doi/10.1027/1192-5604/a000103' target='_blank' >https://econtent.hogrefe.com/doi/10.1027/1192-5604/a000103</a>,"Carstairs, Kari, Hartley, Sarah ... Fontan, Patrick (2018) A normative study in England with the Rorschach Comprehensive System. Rorschachiana 39:39(2):105-134",2018_009,a normative study in england with the rorschach comprehensive system,rorschach test,NA,NA,"Carstairs, Kari, Hartley, Sarah ... Fontan, Patrick (2018)",
2018,2018,Treatment,English,NA,Y,Non-empirical,Not applicable,NA,NA,NA,NA,"Patient Health Questionnaire (PHQ-9),Generalized Anxienty Disorder (GAD-7)",NA,NA,Not applicable,"clark, david m.",10.1146/annurev-clinpsy-050817-084833,<a href='https://www.annualreviews.org/doi/10.1146/annurev-clinpsy-050817-084833' target='_blank' >https://www.annualreviews.org/doi/10.1146/annurev-clinpsy-050817-084833</a>,"Clark, David M. (2018) Realizing the mass public benefit of evidence-based psychological therapies: The IAPT program. Annual Review of Clinical Psychology 14:14(1):159-183",2018_010,realizing the mass public benefit of evidence-based psychological therapies: the iapt program,"patient health questionnaire (phq-9),generalized anxienty disorder (gad-7)",NA,NA,"Clark, David M. (2018)",
2018,2018,Treatment,English,NA,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,NA,Portugal,NA,Men;Women,"correia, edgar a.; sartóris, vítor; fernandes, tiago; cooper, mick; berdondini, lucia; sousa, daniel; pires, branca sá; da fonseca, joão",10.1080/03069885.2016.1254723,<a href='https://www.tandfonline.com/doi/full/10.1080/03069885.2016.1254723' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/03069885.2016.1254723</a>,"Correia, Edgar A., Sartóris, Vítor ... da Fonseca, João (2018) The practices of existential psychotherapists: Development and application of an observational grid. British Journal of Guidance & Counselling 46:46(2):201-216",2018_011,the practices of existential psychotherapists: development and application of an observational grid,NA,NA,NA,"Correia, Edgar A., Sartóris, Vítor ... da Fonseca, João (2018)",
2018,2018,Treatment,English,English,Y,Empirical,Session-by-session,Y,N,CORE-OM;,Unknown;,NA,Kenya,NA,Men;Women;Other,"falkenström, fredrik; kumar, manasi; zahid, aiysha; kuria, mary; othieno, caleb",10.1186/s40359-018-0260-1,<a href='https://bmcpsychology.biomedcentral.com/articles/10.1186/s40359-018-0260-1' target='_blank' >https://bmcpsychology.biomedcentral.com/articles/10.1186/s40359-018-0260-1</a>,"Falkenström, Fredrik, Kumar, Manasi ... Othieno, Caleb (2018) Factor analysis of the Clinical Outcomes in Routine Evaluation – Outcome Measures (CORE-OM) in a Kenyan sample. BMC Psychology 6:6(1):48",2018_012,factor analysis of the clinical outcomes in routine evaluation-outcome measures (core-om) in a kenyan sample,NA,NA,NA,"Falkenström, Fredrik, Kumar, Manasi ... Othieno, Caleb (2018)",Anxiety; DepressionAddictions/substance abusePsychotic problems; 
2018,2018,General population,English,Spanish,Y,Empirical,Only once,N,N,YP-CORE;,Unknown;,Youth Self Report (YSR),Spain,NA,Men;Women,"feixas, guillem; badia, eric; bados, arturo; medina, joan c.; grau, antoni; magallón, ernesto; botella, luis; evans, chris",NA,,"Feixas, Guillem, Badia, Eric ... Evans, Chris (2018) Adaptation and psychometric properties of the Spanish version of the YP-CORE (Young Person's Clinical Outcomes in Routine Evaluation). Actas Espanolas De Psiquiatria 46:46(3):75-82",2018_013,adaptation and psychometric properties of the spanish version of the yp-core (young person's clinical outcomes in routine evaluation),youth self report (ysr),Y,NA,"Feixas, Guillem, Badia, Eric ... Evans, Chris (2018)",
2018,2018,Treatment,English,NA,Y,Non-empirical,Not applicable,NA,NA,NA,NA,Outcome Questionnaire-45 (OQ-45),NA,NA,Not applicable,"fernández-álvarez, javier; fernández-alvarez, héctor; castonguay, louis g.",10.24205/03276716.2018.1070,<a href='https://www.revistaclinicapsicologica.com/article.php?doi=10.24205/03276716.2018.1070' target='_blank' >https://www.revistaclinicapsicologica.com/article.php?doi=10.24205/03276716.2018.1070</a>,"Fernández-Álvarez, Javier, Fernández-Alvarez, Héctor ... Castonguay, Louis G. (2018) Summarizing novel efforts to integrate practice and research from a Practice Oriented Research perspective. Revista Argentina de Clínica Psicológica 27:27(2):353-372",2018_014,summarizing novel efforts to integrate practice and research from a practice oriented research perspective,outcome questionnaire-45 (oq-45),NA,NA,"Fernández-Álvarez, Javier, Fernández-Alvarez, Héctor ... Castonguay, Louis G. (2018)",
2018,2018,Treatment,English,English,Y,Empirical,Multiple completions for other than therapy purposes,Y,N,CORE-OM;,Unknown;,Patient Health Questionnaire (PHQ-9),UK,NA,Women,"ferrari, giulia; feder, gene; agnew-davies, roxane; bailey, jayne e.; hollinghurst, sandra; howard, louise; howarth, emma; sardinha, lynnmarie; sharp, debbie; peters, tim j.",10.1371/journal.pone.0205485,<a href='https://dx.plos.org/10.1371/journal.pone.0205485' target='_blank' >https://dx.plos.org/10.1371/journal.pone.0205485</a>,"Ferrari, Giulia, Feder, Gene ... Peters, Tim J. (2018) Psychological advocacy towards healing (PATH): A randomized controlled trial of a psychological intervention in a domestic violence service setting. PLOS ONE 13:13(11):e0205485",2018_015,psychological advocacy towards healing (path): a randomized controlled trial of a psychological intervention in a domestic violence service setting,patient health questionnaire (phq-9),NA,NA,"Ferrari, Giulia, Feder, Gene ... Peters, Tim J. (2018)",Anxiety; Depression; Trauma/abuse
2018,2018,Treatment,English,English,N,Empirical,Pre-post,N,N,YP-CORE;CORE-10;,Unknown;,NA,UK,Adolescents;Emerging/Young adults;,Men;Women,"flynn, alan t.; sharp, nicola l.; walsh, james j.; popovic, nash",10.1080/09515070.2017.1319800,<a href='https://www.tandfonline.com/doi/full/10.1080/09515070.2017.1319800' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/09515070.2017.1319800</a>,"Flynn, Alan T., Sharp, Nicola L. ... Popovic, Nash (2018) An exploration of an integrated counselling and coaching approach with distressed young people. Counselling Psychology Quarterly 31:31(3):375-396",2018_016,an exploration of an integrated counselling and coaching approach with distressed young people,NA,Y,N,"Flynn, Alan T., Sharp, Nicola L. ... Popovic, Nash (2018)",
2018,2018,Treatment,English,NA,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,Alexian Brothers Urge to Self-Injure (ABUSI),UK,Emerging/Young adults;,Men,"forster, owen; shaw, jake",10.1080/14789949.2018.1508488,<a href='https://www.tandfonline.com/doi/full/10.1080/14789949.2018.1508488' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/14789949.2018.1508488</a>,"Forster, Owen & Shaw, Jake (2018) Self-injury group psychotherapy intervention for young offenders: A pilot study. The Journal of Forensic Psychiatry & Psychology 29:29(5):733-743",2018_017,self-injury group psychotherapy intervention for young offenders: a pilot study,alexian brothers urge to self-injure (abusi),NA,NA,"Forster, Owen & Shaw, Jake (2018)",
2018,2018,Treatment,English,Swedish,N,Empirical,Pre-post,N,N,CORE-OM;CORE-A(TAF);CORE-A(EoT);,Paper and pencil;,"Experiences in Close Relationships Scale (ECR),Alcohol Use Disorders Identification Test (AUDIT),Drug Use Disorders Identification Test (DUDIT)",Sweden,NA,Men;Women,"gidhagen, ylva; holmqvist, rolf; philips, björn",10.1111/papt.12172,<a href='https://onlinelibrary.wiley.com/doi/10.1111/papt.12172' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1111/papt.12172</a>,"Gidhagen, Ylva, Holmqvist, Rolf ... Philips, Björn (2018) Attachment style among outpatients with substance use disorders in psychological treatment. Psychology and Psychotherapy: Theory, Research and Practice 91:91(4):490-508",2018_018,attachment style among outpatients with substance use disorders in psychological treatment,"experiences in close relationships scale (ecr),alcohol use disorders identification test (audit),drug use disorders identification test (dudit)",Y,NA,"Gidhagen, Ylva, Holmqvist, Rolf ... Philips, Björn (2018)",Addictions/substance abuse; 
2018,2018,Treatment,Spanish,NA,Y,Empirical,Session-by-session,N,N,CORE-OM;,Unknown;,"Outcome Questionnaire-45 (OQ-45),Outcome Rating Scale (ORS),Session Rating Scale (SRS)",Spain,NA,Men;Women,"gimeno-peón, alberto; práctica privada, gijón; barrio-nespereira, anxo; servicio de salud del principado de asturias; prado-abril, javier; servicio navarro de salud-osasunbidea",https://doi.org/10.23923/pap.psicol2018.2872,<a href='http://www.papelesdelpsicologo.es/pii?pii=2872' target='_blank' >http://www.papelesdelpsicologo.es/pii?pii=2872</a>,"Gimeno-Peón, Alberto, Práctica privada, Gijón ... Servicio Navarro de Salud-Osasunbidea (2018) Monitorización sistemática y feedback en psicoterapia. Papeles del Psicólogo/Psychologist Papers 39:39(3):174-182",2018_019,monitorización sistemática y feedback en psicoterapia,"outcome questionnaire-45 (oq-45),outcome rating scale (ors),session rating scale (srs)",NA,NA,"Gimeno-Peón, Alberto, Práctica privada, Gijón ... Servicio Navarro de Salud-Osasunbidea (2018)",Anxiety
2018,2018,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-10;,Unknown;,"Work and Social Adjustment Scale (WSAS),Acceptance and Action Questionnaire II (AAQ-II)",UK,NA,Men;Women,"graham, christopher d.; o'hara, daniel j.; kemp, steven",10.1002/cpp.2174,<a href='https://onlinelibrary.wiley.com/doi/10.1002/cpp.2174' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/cpp.2174</a>,"Graham, Christopher D., O'Hara, Daniel J. ... Kemp, Steven (2018) A case series of Acceptance and Commitment Therapy (ACT) for reducing symptom interference in functional neurological disorders. Clinical Psychology & Psychotherapy 25:25(3):489-496",2018_020,a case series of acceptance and commitment therapy (act) for reducing symptom interference in functional neurological disorders,"work and social adjustment scale (wsas),acceptance and action questionnaire ii (aaq-ii)",NA,NA,"Graham, Christopher D., O'Hara, Daniel J. ... Kemp, Steven (2018)",
2018,2018,General population,English,NA,Y,Empirical,Pre-post,Y,N,CORE-OM;,Unknown;,"Prison Screening Questionnaire (PriSnQuest),Borderline Symptom List-23 (BSL-23),Self-Harm Inventory (SHI),Patient Health Questionnaire (PHQ-9)",UK,NA,Men;Women,"horton, mike c.; dyer, wendy; tennant, alan; wright, nat m. j.",10.1186/s40352-018-0076-3,<a href='https://healthandjusticejournal.biomedcentral.com/articles/10.1186/s40352-018-0076-3' target='_blank' >https://healthandjusticejournal.biomedcentral.com/articles/10.1186/s40352-018-0076-3</a>,"Horton, Mike C., Dyer, Wendy ... Wright, Nat M. J. (2018) Assessing the predictability of self-harm in a high-risk adult prisoner population: A prospective cohort study. Health & Justice 6:6(1):18",2018_021,assessing the predictability of self-harm in a high-risk adult prisoner population: a prospective cohort study,"prison screening questionnaire (prisnquest),borderline symptom list-23 (bsl-23),self-harm inventory (shi),patient health questionnaire (phq-9)",NA,NA,"Horton, Mike C., Dyer, Wendy ... Wright, Nat M. J. (2018)",
2018,2018,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,"Self-Compassion Scale (SCS),Forms of Self-Criticising/Attacking and Self-Reassuring Scale (FSCRS),Group Experience Questionnaire (GEQ)",UK,NA,Men;Women,"jones, katrina; street, jane",10.53841/bpscpf.2018.1.305.47,<a href='https://explore.bps.org.uk/lookup/doi/10.53841/bpscpf.2018.1.305.47' target='_blank' >https://explore.bps.org.uk/lookup/doi/10.53841/bpscpf.2018.1.305.47</a>,"Jones, Katrina & Street, Jane (2018) A holistic analysis of compassion focused groups. Clinical Psychology Forum 1:1(305):47-50",2018_022,a holistic analysis of compassion focused groups,"self-compassion scale (scs),forms of self-criticising/attacking and self-reassuring scale (fscrs),group experience questionnaire (geq)",NA,NA,"Jones, Katrina & Street, Jane (2018)",
2018,2018,Treatment,English,English,Y,Non-empirical,Not applicable,NA,NA,CORE-10;CORE-OM;,NA,"Camberwell Assessment of Need-Forensic Version (CAN-FOR),Leeds Dependence Questionnaire (LDQ),EuroQol-5D-5L (EQ-5D-5L),ICEpop CAPability Measure for Adults (ICECAP-A),Brief Inspire Questionnaire (BIQ),Intermediate Outcomes Measurement Instrument (IOMI)",NA,NA,Not applicable,"kirkpatrick, tim; lennox, charlotte; taylor, rod; anderson, rob; maguire, michael; haddad, mark; michie, susan; owens, christabel; durcan, graham; stirzaker, alex; henley, william; stevenson, caroline; carroll, lauren; quinn, cath; brand, sarah louise; harris, tirril; stewart, amy; todd, roxanne; rybczynska-bunt, sarah; greer, rebecca; pearson, mark; shaw, jenny; byng, richard",10.1136/bmjopen-2017-017931,<a href='https://bmjopen.bmj.com/lookup/doi/10.1136/bmjopen-2017-017931' target='_blank' >https://bmjopen.bmj.com/lookup/doi/10.1136/bmjopen-2017-017931</a>,"Kirkpatrick, Tim, Lennox, Charlotte ... Byng, Richard (2018) Evaluation of a complex intervention (Engager) for prisoners with common mental health problems, near to and after release: Study protocol for a randomised controlled trial. BMJ Open 8:8(2):e017931",2018_023,"evaluation of a complex intervention (engager) for prisoners with common mental health problems, near to and after release: study protocol for a randomised controlled trial","camberwell assessment of need-forensic version (can-for),leeds dependence questionnaire (ldq),euroqol-5d-5l (eq-5d-5l),icepop capability measure for adults (icecap-a),brief inspire questionnaire (biq),intermediate outcomes measurement instrument (iomi)",NA,NA,"Kirkpatrick, Tim, Lennox, Charlotte ... Byng, Richard (2018)",
2018,2018,Treatment,English,"English, Swahili",Y,Empirical,Session-by-session,Y,N,CORE-OM;,Unknown;,Session Alliance Inventory (SAI),Kenya,NA,Men;Women,"kumar, manasi; kuria, mary wangari; othieno, caleb joseph; falkenström, fredrik",10.1186/s13033-018-0254-7,<a href='https://ijmhs.biomedcentral.com/articles/10.1186/s13033-018-0254-7' target='_blank' >https://ijmhs.biomedcentral.com/articles/10.1186/s13033-018-0254-7</a>,"Kumar, Manasi, Kuria, Mary Wangari ... Falkenström, Fredrik (2018) Improving psychotherapies offered in public hospitals in Nairobi, Kenya: Extending practice-based research model for LMICs. International Journal of Mental Health Systems 12:12(1):76",2018_024,"improving psychotherapies offered in public hospitals in nairobi, kenya: extending practice-based research model for lmics",session alliance inventory (sai),NA,NA,"Kumar, Manasi, Kuria, Mary Wangari ... Falkenström, Fredrik (2018)",DepressionAddictions/substance abusePsychotic problems; 
2018,2018,Treatment,English,NA,Y,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,"My life tracker (MLT),Kessler Psychological Distress Scale-10 (K10),Warwick-Edinburgh Mental Well-Being Scale (WEMWBS),Social and Occupational Functioning Assessment Scale (SOFAS)",NA,NA,Not applicable,"kwan, benjamin; rickwood, debra j; telford, nic r",10.2147/PRBM.S152342,<a href='https://www.dovepress.com/development-and-validation-of-mylifetracker-a-routine-outcome-measure--peer-reviewed-article-PRBM' target='_blank' >https://www.dovepress.com/development-and-validation-of-mylifetracker-a-routine-outcome-measure--peer-reviewed-article-PRBM</a>,"Kwan, Benjamin, Rickwood, Debra J ... Telford, Nic R (2018) Development and validation of MyLifeTracker: A routine outcome measure for youth mental health. Psychology Research and Behavior Management Volume 11:67-77",2018_025,development and validation of mylifetracker: a routine outcome measure for youth mental health,"my life tracker (mlt),kessler psychological distress scale-10 (k10),warwick-edinburgh mental well-being scale (wemwbs),social and occupational functioning assessment scale (sofas)",NA,NA,"Kwan, Benjamin, Rickwood, Debra J ... Telford, Nic R (2018)",
2018,2018,Treatment,English,Swedish,N,Empirical,Session-by-session,N,N,CORE-OM;,Paper and pencil;,Working Alliance Inventory (WAI),Sweden,NA,Men;Women,"larsson, mattias holmqvist; falkenström, fredrik; andersson, gerhard; holmqvist, rolf",10.1080/10503307.2016.1174345,<a href='https://www.tandfonline.com/doi/full/10.1080/10503307.2016.1174345' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/10503307.2016.1174345</a>,"Larsson, Mattias Holmqvist, Falkenström, Fredrik ... Holmqvist, Rolf (2018) Alliance ruptures and repairs in psychotherapy in primary care. Psychotherapy Research 28:28(1):123-136",2018_026,alliance ruptures and repairs in psychotherapy in primary care,working alliance inventory (wai),Y,NA,"Larsson, Mattias Holmqvist, Falkenström, Fredrik ... Holmqvist, Rolf (2018)",Eating disorders; 
2018,2018,Treatment,English,NA,N,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,"Patient Health Questionnaire (PHQ-9),Generalized Anxienty Disorder (GAD-7)",NA,NA,Not applicable,"long, clive g.; dolley, olga; hollin, clive",10.1108/JCP-01-2018-0003,<a href='https://www.emerald.com/insight/content/doi/10.1108/JCP-01-2018-0003/full/html' target='_blank' >https://www.emerald.com/insight/content/doi/10.1108/JCP-01-2018-0003/full/html</a>,"Long, Clive G., Dolley, Olga ... Hollin, Clive (2018) The use of the Mental Health Treatment Requirement (MHTR): Clinical outcomes at one year of a collaboration. Journal of Criminal Psychology 8:8(3):215-233",2018_027,the use of the mental health treatment requirement (mhtr): clinical outcomes at one year of a collaboration,"patient health questionnaire (phq-9),generalized anxienty disorder (gad-7)",NA,NA,"Long, Clive G., Dolley, Olga ... Hollin, Clive (2018)",
2018,2018,General population,English,Italian,N,Empirical,Only once,N,N,CORE-GP;,Unknown;,"Teacher Justice Scale (TJS),Student Engagement Scale (SES),Connected Classroom Climate Inventory (CCCI)",Italy,NA,Men;Women,"mameli, consuelo; biolcati, roberta; passini, stefano; mancini, giacomo",10.1177/0143034318794226,<a href='http://journals.sagepub.com/doi/10.1177/0143034318794226' target='_blank' >http://journals.sagepub.com/doi/10.1177/0143034318794226</a>,"Mameli, Consuelo, Biolcati, Roberta ... Mancini, Giacomo (2018) School context and subjective distress: The influence of teacher justice and school-specific well-being on adolescents’ psychological health. School Psychology International 39:39(5):526-542",2018_028,school context and subjective distress: the influence of teacher justice and school-specific well-being on adolescents' psychological health,"teacher justice scale (tjs),student engagement scale (ses),connected classroom climate inventory (ccci)",Y,NA,"Mameli, Consuelo, Biolcati, Roberta ... Mancini, Giacomo (2018)",
2018,2018,Treatment,English,English,N,Empirical,Only once,N,N,LD-CORE;,As an interview/Interview-assisted;,"Life Events Checklist (LEC),PTSD Checklist for DSM-5 (PCL-5),Childhood Trauma Questionnaire (CTQ),Glasgow Anxiety Scale (GAS),Glasgow Anxiety Scale (GAS-ID)",UK,Any adults;,Men;Women,"mason-roberts, s.; bradley, a.; karatzias, t.; brown, m.; paterson, d.; walley, r.; truesdale, m.; taggart, l.; sirisena, c.",10.1111/jir.12505,<a href='https://onlinelibrary.wiley.com/doi/10.1111/jir.12505' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1111/jir.12505</a>,"Mason-Roberts, S., Bradley, A. ... Sirisena, C. (2018) Multiple traumatisation and subsequent psychopathology in people with intellectual disabilities and DSM-5 PTSD: A preliminary study. Journal of Intellectual Disability Research 62:62(8):730-736",2018_029,multiple traumatisation and subsequent psychopathology in people with intellectual disabilities and dsm-5 ptsd: a preliminary study,"life events checklist (lec),ptsd checklist for dsm-5 (pcl-5),childhood trauma questionnaire (ctq),glasgow anxiety scale (gas),glasgow anxiety scale (gas-id)",NA,NA,"Mason-Roberts, S., Bradley, A. ... Sirisena, C. (2018)",Anxiety; Depression; Trauma/abuse
2018,2018,General population,English,NA,N,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,NA,NA,NA,Not applicable,"moltu, christian; veseth, marius; stefansen, jon; nøtnes, jan christian; skjølberg, åse; binder, per-einar; castonguay, louis georges; nordberg, samuel s.",10.1080/10503307.2016.1189619,<a href='https://www.tandfonline.com/doi/full/10.1080/10503307.2016.1189619' target='_blank' >https://www.tandfonline.com/doi/full/10.1080/10503307.2016.1189619</a>,"Moltu, Christian, Veseth, Marius ... Nordberg, Samuel S. (2018) This is what I need a clinical feedback system to do for me: A qualitative inquiry into therapists’ and patients’ perspectives. Psychotherapy Research 28:28(2):250-263",2018_030,this is what i need a clinical feedback system to do for me: a qualitative inquiry into therapists' and patients' perspectives,NA,NA,NA,"Moltu, Christian, Veseth, Marius ... Nordberg, Samuel S. (2018)",
2018,2018,Treatment,English,English,Y,Empirical,Only once,Y,N,CORE-10;,Unknown;,Summary of Diabetes Self-Care Activities (SDSCA),UK,NA,Men;Women,"mulligan, kathleen; mcbain, hayley; lamontagne-godwin, frederique; chapman, jacqui; flood, chris; haddad, mark; jones, julia; simpson, alan",10.1186/s12888-018-1744-5,<a href='https://bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888-018-1744-5' target='_blank' >https://bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888-018-1744-5</a>,"Mulligan, Kathleen, McBain, Hayley ... Simpson, Alan (2018) Barriers to effective diabetes management – A survey of people with severe mental illness. BMC Psychiatry 18:18(1):165",2018_031,barriers to effective diabetes management-a survey of people with severe mental illness,summary of diabetes self-care activities (sdsca),NA,NA,"Mulligan, Kathleen, McBain, Hayley ... Simpson, Alan (2018)",Psychotic problems; 
2018,2018,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,Primary Health Quesionnnaire-15 (PHQ-15),UK,NA,Men,"papadopoulos, nina l.r.; röhricht, frank",10.1016/j.aip.2018.09.001,<a href='https://linkinghub.elsevier.com/retrieve/pii/S0197455617302472' target='_blank' >https://linkinghub.elsevier.com/retrieve/pii/S0197455617302472</a>,"Papadopoulos, Nina L.R. & Röhricht, Frank (2018) A single case report of body oriented psychological therapy for a patient with chronic conversion disorder. The Arts in Psychotherapy 61:38-43",2018_032,a single case report of body oriented psychological therapy for a patient with chronic conversion disorder,primary health quesionnnaire-15 (phq-15),NA,NA,"Papadopoulos, Nina L.R. & Röhricht, Frank (2018)",Depression; 
